HiC_scaffold_1_1820_1877	60	FG04258	.	58	het_pixy	0	0	116		
HiC_scaffold_1_1820_1877	60	MP_AC48	.	58	het_pixy	0	0	116		
HiC_scaffold_1_1820_1877	60	MP_D48	.	58	het_pixy	0	0	116		
HiC_scaffold_1_2056_2124	248	MP_AC48	.	4	het_pixy	0	0	8		
HiC_scaffold_1_2056_2124	248	MP_D48	.	67	het_pixy	0	0	134		
HiC_scaffold_1_3316_3441	127	FG04258	.	37	het_pixy	0	0	74		
HiC_scaffold_1_3316_3441	127	MP_AC48	.	125	het_pixy	0	0	250		
HiC_scaffold_1_3316_3441	127	MP_D48	.	69	het_pixy	0	0	138		
HiC_scaffold_1_20656_20779	128	MP_AC48	.	90	het_pixy	0	0	180		
HiC_scaffold_1_20656_20779	128	MP_D48	.	69	het_pixy	0	0	138		
HiC_scaffold_1_45766_45801	38	FG04258	.	36	het_pixy	0	0	72		
HiC_scaffold_1_45766_45801	38	MP_AC48	.	36	het_pixy	0	0	72		
HiC_scaffold_1_45766_45801	38	MP_BR24	.	36	het_pixy	0	0	72		
HiC_scaffold_1_45766_45801	38	MP_D48	.	36	het_pixy	0	0	72		
HiC_scaffold_1_127502_127627	127	FG04258	.	69	het_pixy	0	0	138		
HiC_scaffold_1_127502_127627	127	MP_AC48	.	126	het_pixy	0	0	252		
HiC_scaffold_1_127502_127627	127	MP_D48	.	69	het_pixy	0	0	138		
HiC_scaffold_1_148838_148978	142	FG04258	.	134	het_pixy	0	0	268		
HiC_scaffold_1_148838_148978	142	MP_AC48	.	141	het_pixy	0	0	282		
HiC_scaffold_1_148838_148978	142	MP_BR24	.	136	het_pixy	0	0	272		
HiC_scaffold_1_148838_148978	142	MP_D48	.	133	het_pixy	0	0	266		
HiC_scaffold_1_156740_156830	179	FG04258	.	70	het_pixy	0	0	140		
HiC_scaffold_1_156740_156830	179	MP_AC48	.	91	het_pixy	0	0	182		
HiC_scaffold_1_156740_156830	179	MP_BR24	.	72	het_pixy	0	0	144		
HiC_scaffold_1_156740_156830	179	MP_D48	.	69	het_pixy	0	0	138		
HiC_scaffold_1_162676_162744	127	MP_D48	.	69	het_pixy	0	0	138		
HiC_scaffold_1_218138_218263	179	FG04258	.	70	het_pixy	0	0	140		
HiC_scaffold_1_218138_218263	179	MP_AC48	.	126	het_pixy	0	0	252		
HiC_scaffold_1_218138_218263	179	MP_BR24	.	72	het_pixy	0	0	144		
HiC_scaffold_1_218138_218263	179	MP_D48	.	69	het_pixy	0	0	138		
HiC_scaffold_1_218485_218558	142	MP_AC48	.	66	het_pixy	0	0	132		
HiC_scaffold_1_238381_238506	193	FG04258	.	69	het_pixy	0	0	138		
HiC_scaffold_1_238381_238506	193	MP_AC48	.	126	het_pixy	0	0	252		
HiC_scaffold_1_238381_238506	193	MP_BR24	.	69	het_pixy	0	0	138		
